category,manufacturer,product_name,model_name,specification,status,notes
의료장비,Draeger,인큐베이터(인공보육기),TN500,TN500,benchmark 확정,공개가격 근거 검증 대상
의료장비,Stephan,인공호흡기,Sophie,Sophie,benchmark 확정,공개가격 근거 검증 대상
의료장비,Align Technology,입체광학인상채득장치,iTero Lumina pro,iTero Lumina pro,benchmark 확정,공개가격 근거 검증 대상
의료장비,Boston Scientific,혈관박리카테터장치,ROTAPRO,ROTAPRO,benchmark 확정,공개가격 근거 검증 대상
의료장비,Thermo Fisher Scientific,핵산증폭기,Veriti Pro Dx,Veriti Pro Dx,benchmark 확정,공개가격 근거 검증 대상
의료장비,Medtronic,전기수술기(소작기),FT10,FT10,benchmark 확정,공개가격 근거 검증 대상
의료장비,에스엔제이,탄산가스레이저수술기,N-Pulse Pro,N-Pulse Pro,benchmark 확정,공개가격 근거 검증 대상
의료장비,Oxford Nanopore,염기서열분석기,MinION Mk1D,MinION Mk1D,benchmark 확정,공개가격 근거 검증 대상
의료비품,ConMed,배터리 드릴세트,Hall Titan Drill set,Hall Titan Drill set,benchmark 확정,공개가격 근거 검증 대상
의료비품,GE Healthcare,선형탐촉자(초음파 Probe),L4-20t-RS,L4-20t-RS,benchmark 확정,공개가격 근거 검증 대상
의료비품,필립스,심장 충격기,Efficia DFM100,,benchmark 확정,공개가격 근거 검증 대상
의료비품,GE,심전도기,MAC5,,benchmark 확정,공개가격 근거 검증 대상
의료비품,SGM,약품냉장고,GMSR-182,182L,benchmark 확정,공개가격 근거 검증 대상
수술기구,,Mixter hemostatic Forceps,30-4494,,benchmark 확정,제조사 미상 난이도 검증
수술기구,,Laparoscopical Needle holder,26173KA,,benchmark 확정,제조사 미상 난이도 검증
수술기구,,TEBBETTS FIBEROPTIC RETRACTOR,B61084,9CM X20MM,benchmark 확정,제조사 미상 난이도 검증
전산비품,삼성전자,노트북(갤럭시북6 PRO),NT960XJG-K72AG,NT960XJG-K72AG,benchmark 확정,공개가격 근거 검증 대상
전산비품,,Color Laser Printer,C5570,"55PPM,A3",benchmark 확정,제조사 미상 난이도 검증
전산비품,,컴퓨터(동영상편집용),ThinkStation P2 Tower,"ULTRA 7 265K 계열",benchmark 확정,제조사·세부사양 확인 필요
의료비품,와이드,영상 판독용 모니터,CX30n,,benchmark 확정,제조사 표기 검증 필요
